steps,reward,extrinsic_reward,intrinsic_reward
113,-211.26223478323692,-211.41377524488516,0.15154046164825558
224,-295.00414179277004,-295.1639413268524,0.15979953408241268
331,-316.16246615638784,-316.32455266080626,0.16208650441840294
424,-154.93724005761095,-155.073807294746,0.13656723713502286
513,-140.8575739626607,-140.97628297301213,0.11870901035144928
573,-108.44136997687826,-108.51682853133613,0.07545855445787311
628,-93.29042026760195,-93.36151413271345,0.0710938651114702
711,-122.4485464357482,-122.57179889694694,0.12325246119871734
776,-100.77049472329442,-100.84688004960542,0.07638532631099225
865,-135.32663028191587,-135.45253553360516,0.12590525168925526
955,-166.93301631905157,-167.06977751389164,0.13676119484007362
1053,-199.86341493160828,-200.01362263032598,0.15020769871771342
1141,-144.30801063827408,-144.4132616368605,0.10525099858641623
1209,-182.80884119181482,-182.88322592817772,0.07438473636284466
1266,-133.0597580279242,-133.1228437597882,0.06308573186397552
1327,-126.89252405667919,-126.9529052082287,0.0603811515495181
1399,-164.7591218424364,-164.84537024994933,0.08624840751290319
1478,-180.6475681663959,-180.73654042589507,0.08897225949913262
1569,-135.21066754468194,-135.30860097909755,0.09793343441560863
1628,-131.90194608796185,-131.97454953988813,0.07260345192626116
1709,-125.68155932627582,-125.77349708942661,0.09193776315078142
1771,-159.25205952931336,-159.3271164412252,0.07505691191181536
1847,-149.67261779104595,-149.76328593745131,0.09066814640536905
1900,-98.19943686944687,-98.25491183965721,0.05547497021034362
1954,-147.67167163069337,-147.74724473643096,0.07557310573756694
2030,-154.39856300011334,-154.49278824815582,0.09422524804249406
2100,-141.97121781415944,-142.03370493881113,0.06248712465167044
2155,-80.8676924445274,-80.91153530251036,0.04384285798296333
2211,-149.28419053649992,-149.34435122648716,0.06016068998724222
2285,-342.1063839755949,-342.2169021181759,0.11051814258098602
2362,-133.48114339054646,-133.5466026211818,0.06545923063531517
2440,-124.89458701666794,-124.96707826080151,0.07249124413356187
2501,-132.66602652757473,-132.7175710191489,0.051544491574168204
2567,-161.49361989964981,-161.5534148548848,0.059794955234974606
2627,-100.33754940298775,-100.3852845727505,0.0477351697627455
2689,-147.27362680884022,-147.3231998809794,0.04957307213917375
2739,-101.42916740053629,-101.47227157033345,0.043104169797152286
2800,-125.83902751777886,-125.89393434512992,0.05490682735107839
2877,-135.9770704825322,-136.0480388664088,0.07096838387660684
2950,-144.12096864640972,-144.18385598253718,0.06288733612746003
3022,-141.9877254315537,-142.0555041267422,0.06777869518846273
3079,-97.07145543366687,-97.11058570121432,0.03913026754744351
3139,-126.05990011888971,-126.10078630807294,0.04088618918322025
3217,-155.78119431387617,-155.8381580168659,0.05696370298974218
3297,-171.54235174013002,-171.61391996522136,0.07156822509132325
3389,-134.8354298691905,-134.9004691743,0.0650393051095307
3449,-150.1300280125064,-150.17707901137854,0.047050998872146005
3553,30.747193097257053,30.663867259751044,0.08332583750598135
3606,-129.6585993492116,-129.69906200092072,0.04046265170909465
3698,-8.9222779170548,-9.000307755026398,0.0780298379715532
3750,-87.6756161798673,-87.71143870483584,0.03582252496853472
3830,-126.1377408813551,-126.19834036141222,0.06059948005713523
3922,-268.9558956003824,-269.0465500287322,0.09065442834980782
3989,-142.84829555627596,-142.8986598019366,0.050364245660603046
4050,-127.45852213250723,-127.49649836463172,0.03797623212449253
4110,-119.54428692899168,-119.58216759126157,0.0378806622698903
