steps,rewards
117,-367.69188448735684
175,-130.73313003560176
242,-149.66095091142597
293,-258.4501036350995
381,-598.0659305721392
464,-594.0703608321909
537,-375.6657935797205
621,-700.891645699214
681,-396.6205740926904
742,-535.9929438343719
812,-548.0355515844669
868,-369.001530498568
922,-344.9164528614232
983,-464.41895809092443
1036,-421.8735872202948
1089,-346.35863840255263
1141,-365.72731540857103
1223,-455.52170562943047
1273,-304.6163140244645
1327,-386.33229842919116
1395,-526.3182293152565
1455,-607.2875887267163
1510,-314.21351758021365
1581,-632.0867553142074
1653,-473.83597456607845
1715,-517.0582570850838
1823,-484.47689498372665
1888,-501.8208854249975
1964,-744.5354962115613
2036,-456.16083848676107
2086,-338.6726192574787
2159,-673.5638199572687
2219,-478.9730992533581
2280,-495.2783496762828
2344,-569.5471233078412
2565,-1074.4691275841492
2646,-768.2502838592094
2716,-675.3061324330082
2776,-531.1611332388767
2829,-372.67421487219895
2887,-599.9456473781579
2942,-383.57096522266204
3010,-658.0741900855282
3070,-591.3969630003161
3154,-761.8146576996461
3233,-779.4390782985505
3299,-570.1678131623654
3366,-572.3577762557355
3440,-707.5654112796357
3520,-806.6574119422902
3608,-444.9428998336218
3692,-773.653179701068
3776,-784.3357898544215
3845,-498.1323932609623
3929,-779.7343043661663
3992,-502.77026270120086
4044,-361.5385702702522
4101,-584.8694114541205
4157,-567.2918725641483
4230,-647.5473361192186
4312,-760.6985695883901
4367,-369.1415623295573
4448,-748.1109867953477
4503,-539.2452370677364
4571,-494.69280508490954
4632,-618.23893734581
4696,-491.662472914379
4761,-629.6360589420229
4841,-730.7810471559606
4896,-400.7450521286388
4950,-522.1483501538728
5034,-833.6345717184975
5107,-604.1617320861995
5175,-520.2495089980434
5262,-826.7940643728632
5315,-372.8260240151063
5392,-714.5618988986836
5475,-771.5944311999822
5542,-541.2679804571508
5621,-719.1171216710885
5824,-1223.0573910348312
5878,-460.67950713168284
5941,-462.00659444028213
5994,-467.53860928589074
6047,-506.12084524391025
6101,-383.7489904804588
6162,-521.57365204372
6215,-537.8159544680886
6276,-636.7874042500537
6330,-368.14651439902667
6388,-451.3657164818361
