steps,rewards
97,-285.82878636807476
190,-125.0880747369939
274,-408.6937229992224
361,-236.40125740459195
555,-286.43044956771905
847,-481.9731851362543
1064,-360.1759360095981
1228,-218.43362101649637
1333,-264.7140253489491
2333,-158.5940043142358
3333,-106.3988941708901
4333,-91.9375896676667
5333,-120.66046503609374
6333,-97.77868650694458
7333,-108.15157740140907
8333,-96.72930835922901
9333,-70.58831464600019
9668,-248.43120173599556
9812,-255.60541727355246
10093,-54.60057789188578
11093,-74.1916616928989
12093,-78.85733612959785
12271,-41.67328686510041
12488,-484.8727730010517
12693,-33.72133731555914
13693,-86.92653477708329
14693,-93.27852842616045
14997,36.26097543784462
15206,-267.77350935987783
16206,-121.61093416219413
17206,-74.85476883014776
18206,-110.40669677220224
19206,-91.53179210272998
